"2025-12-10 17:15:09.165","86E19FC3-2D61-41E5-9833-1848415F8F93","POST","jwt/obtain/","200","5676","695","SUCCESS",""
"2025-12-11 12:34:08.069","31F7B3E4-5081-4A68-99A4-853D687B5D0F","POST","jwt/obtain/","200","2940","695","SUCCESS",""
"2025-12-11 12:34:56.973","4178AEE5-7624-4BCE-90FC-BCC70F49D89B","POST","notification/api/notification-upload-json/","200","162","2947","FAILURE","Erro de validação: ""Dado inválido. Necessário um dicionário mas recebeu str."""
"2025-12-11 13:01:56.666","A6926CDF-E0C1-45B7-96AA-FBEF99E92171","POST","jwt/obtain/","0","5863","0","FAILURE","Erro: Invalid URL: ""otavio@extradigital.com.br/jwt/obtain/"""
"2025-12-11 13:26:42.917","6D9310AD-5A4E-4CA3-9C43-7464D5DC426C","POST","jwt/obtain/","200","984","695","SUCCESS",""
"2025-12-11 13:28:58.683","2771C146-5851-4F50-B3FA-59790D96C51F","POST","jwt/obtain/","200","672","695","SUCCESS",""
"2025-12-11 13:29:23.353","3B41072F-AFBE-42F4-B450-4E6F2005FABE","POST","notification/api/notification-upload-json/","200","169","430","FAILURE","Erro de validação: ""Dado inválido. Necessário um dicionário mas recebeu str."""
"2025-12-11 13:34:12.312","87D82796-B359-4A0C-ACC6-88356848DC60","POST","jwt/obtain/","200","4062","695","SUCCESS",""
"2025-12-11 13:34:48.026","35F29F7C-E6D7-42C0-8055-EDA312D5B659","POST","notification/api/notification-upload-json/","200","164","430","FAILURE","Erro de validação: ""Dado inválido. Necessário um dicionário mas recebeu str."""
"2025-12-11 14:03:17.957","97B5990C-3FB9-442C-93B3-5190F3E11B3E","POST","jwt/obtain/","0","3320","0","FAILURE","Erro: Invalid URL: ""2/jwt/obtain/"""
"2025-12-11 14:04:30.982","4F7FEA84-F75A-4C51-ACE0-EF5C894BBE38","POST","jwt/obtain/","200","1973","695","SUCCESS",""
"2025-12-11 14:04:50.950","53C1D8CB-060D-4A99-8B18-4C2644104F36","POST","notification/api/notification-upload-json/","403","162","183","FAILURE","Erro de validação: Given token not valid for any token type"
"2025-12-11 14:06:44.058","26C177AA-62B5-43F6-92AF-1D0F99C22CDC","POST","jwt/obtain/","200","712","695","SUCCESS",""
"2025-12-11 16:26:42.425","A3169BFB-4BF6-4A7D-A3BC-A38BB3F9B2B0","POST","jwt/obtain/","200","4093","695","SUCCESS",""
